Card   1: 34 55 49 53 46  7 82 22 59 33 | 33 29  7 66 22 51 59 21 55 85 53 26 94 46 24 82  6 47 38  2 34 89 49 41 76
Card   2: 92 73 47  1 91 82 52 98 84 63 | 39 31 73 63 67 91 97 44  8  1 52 20 25 92 43 81 10 36 45 82 47 84  2 98 23
Card   3: 94 35 26 78 66 40 64  7 31 65 | 26 40 65 35 94 36 69 20  7 76 56 27 91 83 66 14 72 31 43 64 34 67 38 78  9
Card   4: 85 11 22  6 20 39 91 69 60 49 | 11 82 68 71 98  3  6 26 32 20 69 35 38 24 93 28 61 18 49 15 40 91 58 75 81
Card   5: 81 89 38 24 64 17 48 69 43 60 | 26 45 49 48  8 19 33 38 28 60 83 27 12 23 89 13 36 88 95 65  4 20 64 62 69
Card   6: 64 37 38 44 63 21 15 43 17 84 | 27 47  5 34 38  8 21 44 41 76 84 64 51 43 25 85 56 32 63  6 15 37 57 17 65
Card   7: 82 97  2 91 92 24 18 19 12 42 | 26 82 79 50 67 92 42 76 97 19 24 91 72 71 15 95 59 88 74  5 18 31 12 46  2
Card   8: 32 90 25 17 85 19 83 59 18 31 | 82 70 53 31 11 19 35 76 85 90  8 40 95 25 18 79 60 59 17 26 28 81 32 83 99
Card   9: 81 51 84 95 88 69 26 75 52  7 | 29 87 12 76 67 95 71 44 91 30  3 43 17 34 64  9 84 53 15 28 72 40 46 10 22
Card  10: 45 36 13 80 75 57 40 99 28 92 | 18 62 75 91 45 90 13 64 61 36 84 67 71 59 82 12 57  7 40 51 46 98 92 28 35
